#{"t_start": 1649547155.229201, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,839,5.190216
-20.0,860,8.790975
-21.0,913,12.519498
-20.0,864,16.076666
-20.0,1053,20.239077
-20.0,955,24.091572
-21.0,820,27.671312
-20.0,915,31.438873
-21.0,785,34.539608
-20.0,838,37.92804
-21.0,938,41.835989
-21.0,823,45.179074
-21.0,779,48.493953
-19.0,1109,52.925179
-20.0,868,56.663135
-20.0,914,60.396609
-20.0,1105,64.69835
-21.0,823,68.184987
-20.0,1006,72.453135
-21.0,852,75.848295
-20.0,897,79.516753
-20.0,902,83.095775
-20.0,860,86.751223
-21.0,868,90.339092
-21.0,878,94.023329
-21.0,884,97.51584
-21.0,788,100.739048
-18.0,1119,105.29683
-20.0,955,109.263853
-21.0,821,112.549605
-21.0,908,116.177074
-21.0,936,120.208235
-21.0,883,123.612945
-21.0,779,126.942079
-21.0,967,130.909771
-20.0,898,134.609645
-20.0,867,138.210798
-20.0,840,141.601355
-20.0,1000,145.649154
-21.0,1178,150.645651
-21.0,817,154.041517
-20.0,1028,158.179164
-20.0,945,161.942615
-20.0,980,166.056451
-20.0,920,169.929243
-21.0,848,173.591086
-21.0,809,176.774078
-21.0,882,180.412533
-21.0,911,184.047194
-21.0,912,187.844881
-21.0,938,191.647879
-20.0,944,195.691575
-18.0,1143,200.352378
-20.0,1151,205.029195
-20.0,1019,209.312876
-19.0,1353,214.88379
-21.0,823,218.211305
-19.0,1202,223.296682
-17.0,1490,229.349932
-18.0,1176,234.214524
-20.0,1121,238.542445
-17.0,1399,244.44076
-21.0,1470,250.540408
-17.0,1768,257.554843
-17.0,1856,265.247438
-16.0,2005,273.308671
-16.0,1999,281.487638
-15.0,2415,291.244872
-15.0,2543,301.899642
-19.0,2060,310.149194
-20.0,1761,317.451712
-19.0,2071,325.851822
-16.0,1984,333.758455
-18.0,1849,341.461398
-16.0,1991,349.499779
-17.0,2404,359.279351
-15.0,2172,368.055143
-17.0,2300,377.300729
-16.0,2690,388.221694
-8.0,2812,399.702271
-18.0,1729,406.593863
-7.0,3092,419.242526
-4.0,3241,432.448756
-14.0,1902,440.090845
-5.0,3321,453.662526
-9.0,2222,462.756149
-9.0,2377,472.389285
-8.0,2591,483.041398
-5.0,2794,494.547403
-3.0,3396,508.342187
-1.0,3523,522.565552
4.0,3276,535.781333
12.0,2506,546.191017
11.0,2484,556.032106
-11.0,1940,563.997374
16.0,2362,573.683323
8.0,2944,585.642155
17.0,1812,592.86071
6.0,2636,603.779289
-1.0,3525,618.057503
5.0,3097,630.60661
6.0,2700,641.341273
19.0,1733,648.544706
12.0,2300,657.740144
10.0,2424,667.65343
18.0,1786,674.818209
7.0,3002,687.184561
17.0,2168,695.885568
14.0,2029,704.228663
17.0,1830,711.514974
20.0,1621,718.298114
17.0,1882,725.745179
2.0,3452,739.797842
20.0,1700,746.707045
-2.0,3416,760.583486
-4.0,3203,773.559991
14.0,2482,783.625157
19.0,1629,790.189481
15.0,2613,800.909184
1.0,3537,815.231687
5.0,3209,828.218385
20.0,1565,834.852952
20.0,1624,841.292415
20.0,1563,847.677248
20.0,1562,854.044098
12.0,2186,862.769086
20.0,2041,871.16535
16.0,2256,880.323357
14.0,2247,889.795516
9.0,2824,901.275025
-4.0,3126,913.907389
17.0,2066,922.516989
18.0,1786,929.699162
18.0,2126,938.4063
20.0,1627,945.045201
19.0,2152,953.555015
16.0,2321,963.132214
20.0,1564,969.43566
19.0,1633,976.254803
20.0,1624,982.701747
20.0,1622,989.492671
17.0,1934,997.493834
3.0,3409,1011.453583
19.0,1840,1018.888639
14.0,2089,1027.455496
14.0,2098,1036.035714
19.0,2033,1044.326738
7.0,3181,1057.332563
19.0,1771,1064.475188
19.0,2142,1073.333205
17.0,1868,1080.861072
19.0,1776,1088.115069
17.0,2137,1096.818634
19.0,2081,1105.339943
15.0,2317,1114.682926
13.0,2353,1124.290424
17.0,2229,1133.261561
18.0,2206,1142.277896
17.0,2339,1151.851391
16.0,2131,1160.526495
14.0,2438,1170.349699
20.0,1567,1176.860619
15.0,2372,1186.380746
20.0,2054,1194.963003
4.0,3362,1208.70701
19.0,1633,1215.390507
15.0,1824,1222.776392
14.0,2166,1231.736128
19.0,1765,1238.951313
18.0,1741,1245.856903
17.0,1892,1253.586947
15.0,2375,1263.253532
20.0,1563,1269.668276
18.0,1782,1276.929788
15.0,2096,1285.574553
18.0,1799,1292.662604
19.0,1630,1299.443413
21.0,2018,1307.600017
13.0,2262,1316.905639
16.0,2250,1326.070616
18.0,1737,1333.321327
18.0,1844,1340.764201
4.0,3577,1355.362402
15.0,2109,1363.86619
15.0,2236,1372.989375
19.0,2099,1381.501681
19.0,2165,1390.466248
19.0,1660,1397.213176
20.0,2002,1405.403844
21.0,2051,1413.793851
19.0,2136,1422.347013
18.0,1908,1430.114487
21.0,2052,1438.441132
19.0,1691,1445.30475
3.0,3411,1459.153442
18.0,2237,1468.356607
15.0,2051,1476.625063
20.0,1722,1483.703596
18.0,1870,1491.429578
17.0,1999,1499.370522
18.0,2168,1508.286093
12.0,2742,1519.313137
20.0,1623,1525.882373
19.0,2227,1534.983244
20.0,1684,1541.762891
20.0,1832,1549.329895
19.0,1634,1555.815145
16.0,2241,1565.071476
19.0,2137,1573.658064
17.0,2251,1582.819432
16.0,2083,1591.222843
18.0,1894,1598.982575
17.0,2311,1608.421644
20.0,1622,1615.025119
18.0,2215,1624.179261
20.0,1625,1630.740368
19.0,2135,1639.545906
20.0,1722,1646.299369
19.0,1730,1653.643704
19.0,1640,1660.131423
20.0,1993,1667.977813
20.0,2091,1676.651844
20.0,1997,1684.708247
15.0,2473,1694.689342
13.0,2139,1703.429667
18.0,1911,1711.225929
20.0,2005,1719.546206
19.0,1726,1726.403133
20.0,1995,1734.569589
19.0,1729,1741.602112
18.0,2045,1749.910275
19.0,1758,1756.976337
17.0,1941,1764.727605
19.0,1657,1771.661277
9.0,2848,1783.229887
20.0,1996,1791.408179
20.0,1995,1799.361583
17.0,1874,1807.120866
19.0,1718,1813.831516
20.0,1562,1820.209156
18.0,2177,1828.899728
19.0,1893,1836.531777
15.0,2163,1845.234874
20.0,1580,1851.545908
20.0,1992,1859.805052
20.0,1624,1866.376628
14.0,2112,1874.656704
5.0,3378,1888.565455
19.0,2223,1897.777974
19.0,1766,1904.777416
16.0,2163,1913.435571
19.0,2197,1922.394898
17.0,1989,1930.321747
20.0,1564,1936.819937
14.0,2794,1948.217844
19.0,1636,1955.058015
18.0,1820,1962.454744
18.0,2086,1970.760384
19.0,1709,1977.921848
19.0,1756,1984.891156
20.0,2088,1993.715449
17.0,1925,2001.318172
20.0,2123,2010.220329
17.0,1822,2017.494069
17.0,1944,2025.462208
12.0,2672,2036.12893
20.0,2101,2044.958194
13.0,2700,2055.829092
19.0,1735,2063.075909
19.0,2133,2071.696269
14.0,2366,2081.50213
19.0,2134,2090.070528
18.0,2134,2098.873474
19.0,1751,2105.99386
16.0,2407,2115.875391
19.0,2194,2124.665564
19.0,2102,2133.360815
17.0,1816,2140.759996
19.0,2227,2149.965076
19.0,1772,2157.121786
19.0,2127,2165.947496
12.0,2550,2176.276101
17.0,1985,2184.394671
20.0,1991,2192.690676
20.0,2061,2201.058574
19.0,1771,2208.335565
20.0,1744,2215.401506
19.0,2121,2224.045226
18.0,1738,2231.262221
20.0,1623,2237.82249
19.0,1598,2244.45382
20.0,1627,2251.02626
16.0,1972,2258.986106
18.0,1850,2266.69432
18.0,1806,2273.820485
16.0,2324,2283.346014
15.0,2215,2292.285959
20.0,1565,2298.689054
19.0,2131,2307.385203
19.0,2132,2316.062143
20.0,2063,2324.442068
20.0,1627,2331.035975
14.0,2443,2341.0115
18.0,2279,2350.47211
16.0,2022,2358.660139
20.0,2178,2367.645697
20.0,1627,2374.094702
15.0,2209,2383.141911
16.0,1999,2391.208144
19.0,1672,2398.124121
19.0,1811,2405.633727
18.0,2170,2414.417871
10.0,2911,2426.414748
19.0,2102,2434.862011
18.0,1776,2442.167188
19.0,1813,2449.421126
17.0,2554,2459.862025
18.0,2399,2469.617112
20.0,1744,2476.912916
20.0,1626,2483.478016
14.0,2745,2494.785806
19.0,2130,2503.532703
18.0,2167,2512.315332
14.0,2536,2522.703347
18.0,1859,2530.521546
19.0,2216,2539.381942
20.0,2034,2547.821638
18.0,1907,2555.582753
20.0,2210,2564.603179
15.0,1996,2572.669974
18.0,2272,2582.099527
20.0,1625,2588.7891
20.0,1624,2595.489667
19.0,2130,2604.026873
19.0,2131,2612.579435
20.0,2234,2621.627713
15.0,2282,2630.752165
20.0,2095,2639.448611
20.0,2100,2647.810675
19.0,2194,2656.663666
19.0,2178,2665.393834
20.0,2111,2674.133982
19.0,1652,2680.695354
19.0,1845,2688.178841
19.0,1669,2695.15011
19.0,1712,2701.98184
14.0,2460,2711.896979
19.0,2270,2721.131918
20.0,2146,2730.004683
18.0,2408,2739.637584
20.0,1625,2746.244027
19.0,2224,2755.448266
20.0,1721,2762.423993
20.0,1621,2769.245283
20.0,2144,2778.030106
19.0,1718,2784.953697
19.0,2274,2794.439053
19.0,1695,2801.335022
20.0,2208,2810.265902
19.0,2224,2819.339627
18.0,1997,2827.412342
17.0,1794,2834.485023
19.0,1726,2841.510645
19.0,2267,2850.496754
20.0,2037,2858.793172
17.0,1982,2866.769148
18.0,2287,2876.17669
20.0,2210,2885.127869
17.0,1867,2892.780092
20.0,1613,2899.4439
17.0,1965,2907.382983
18.0,2499,2917.549192
20.0,1566,2923.821716
18.0,1811,2931.2307
16.0,2261,2940.40909
20.0,1564,2946.943485
18.0,2277,2956.179282
20.0,1625,2962.754054
19.0,2196,2971.764264
19.0,2163,2980.553243
20.0,1625,2987.126846
20.0,2009,2995.529452
20.0,1621,3001.967474
20.0,1624,3008.53822
20.0,2067,3017.041321
18.0,2106,3025.528346
19.0,1815,3033.013747
19.0,2252,3042.041451
20.0,1567,3048.419367
20.0,2190,3057.408231
20.0,1597,3063.882016
20.0,2267,3073.205077
19.0,2197,3081.98865
19.0,1855,3089.598065
18.0,1713,3096.567324
13.0,2747,3107.714707
19.0,2210,3116.883377
20.0,2176,3125.809903
20.0,2275,3134.931381
17.0,1912,3142.732432
20.0,2039,3151.043082
20.0,2040,3159.467695
20.0,2130,3168.124232
18.0,2136,3176.92513
18.0,1782,3184.105414
17.0,2155,3193.121397
15.0,2267,3202.434248
15.0,2974,3214.645508
20.0,1613,3221.388869
20.0,1618,3227.932231
19.0,1632,3234.816996
20.0,2208,3243.772623
19.0,2303,3253.340331
20.0,2214,3262.418169
20.0,2004,3270.597573
20.0,1614,3277.265013
18.0,2441,3287.081681
20.0,1617,3293.654922
21.0,1562,3300.065251
20.0,2446,3310.087749
20.0,1619,3316.668631
20.0,1616,3323.227061
16.0,2274,3332.719106
20.0,1593,3339.076857
19.0,2413,3349.000276
19.0,2105,3357.353332
20.0,1614,3364.094904
21.0,2529,3374.500201
20.0,2130,3383.193289
19.0,2191,3392.175875
19.0,1731,3399.259718
18.0,1920,3407.109253
20.0,1616,3413.770182
18.0,2199,3422.689447
20.0,1616,3429.343884
20.0,2070,3437.493152
19.0,2135,3446.562457
20.0,2266,3455.54441
19.0,2013,3463.771434
20.0,2247,3472.708632
19.0,2185,3481.564843
16.0,2114,3490.259273
18.0,1840,3497.734674
20.0,2134,3506.479671
19.0,1901,3514.238384
8.0,3210,3527.260633
21.0,1737,3534.407536
20.0,2068,3542.783945
15.0,2282,3552.234515
20.0,2002,3560.233186
18.0,2256,3569.428412
20.0,1614,3576.081016
20.0,1616,3582.710965
18.0,1720,3589.708289
18.0,1833,3597.039877
20.0,2134,3605.988343
20.0,1615,3612.509304
20.0,2032,3620.954339
20.0,2194,3629.909373
20.0,2326,3639.584177
20.0,2128,3648.13936
19.0,2230,3657.244444
20.0,1621,3663.798526
21.0,2531,3674.054851
20.0,1618,3680.611585
18.0,1846,3688.208287
19.0,2752,3699.493061
20.0,1619,3705.939829
9.0,3387,3719.859781
21.0,2527,3730.111314
18.0,2160,3738.879618
20.0,1619,3745.679385
19.0,1711,3752.607242
18.0,2529,3762.758669
19.0,2606,3773.358455
20.0,1614,3779.927819
19.0,1839,3787.360326
20.0,1616,3793.921144
20.0,1614,3800.471309
20.0,1561,3806.861192
20.0,1614,3813.268902
20.0,2190,3822.162905
20.0,1613,3828.56637
20.0,2255,3837.843225
20.0,1615,3844.25052
18.0,2055,3852.615843
20.0,2128,3861.315333
21.0,2528,3871.475924
20.0,2608,3882.071872
19.0,2162,3890.994796
21.0,2531,3901.101211
15.0,2013,3909.424145
16.0,2364,3919.052778
21.0,2528,3929.168963
20.0,1618,3935.871049
20.0,1748,3943.186016
20.0,1618,3949.599058
19.0,2405,3959.62653
20.0,2130,3968.335429
19.0,2233,3977.469292
18.0,1835,3984.911567
20.0,2131,3993.731132
20.0,1752,4000.939607
20.0,2194,4009.973612
20.0,1993,4018.287284
17.0,2035,4026.484099
18.0,2168,4035.376048
20.0,2007,4043.563406
20.0,2003,4051.725036
20.0,2072,4060.226527
15.0,2584,4070.845912
20.0,1613,4077.218136
16.0,2199,4086.500442
15.0,2373,4096.088114
20.0,2500,4106.128272
20.0,2190,4115.002905
15.0,2456,4125.010916
21.0,2216,4133.840052
18.0,1816,4141.475088
19.0,1633,4148.061665
15.0,2709,4159.233739
18.0,2570,4169.589267
15.0,2326,4178.989429
19.0,2153,4187.737616
19.0,2107,4196.373261
19.0,2239,4205.373738
21.0,2531,4215.621012
19.0,2465,4225.621815
19.0,1665,4232.39115
20.0,2001,4240.727099
19.0,1874,4248.255904
21.0,2530,4258.481946
16.0,2087,4267.158161
20.0,2070,4275.541944
15.0,2303,4285.093101
20.0,1613,4291.380455
18.0,1724,4298.604801
18.0,1848,4305.986373
19.0,2165,4314.788984
17.0,1987,4322.717806
20.0,1683,4329.811076
21.0,2532,4339.968553
17.0,2134,4348.920992
21.0,2529,4359.185111
15.0,2803,4370.855285
16.0,2097,4379.208835
20.0,2129,4388.119587
19.0,1872,4395.598954
18.0,2242,4404.978893
20.0,2074,4413.27456
16.0,1967,4421.353776
21.0,2528,4431.725662
20.0,1617,4438.383029
20.0,1617,4445.037896
18.0,2055,4453.274981
19.0,2735,4464.489052
20.0,1751,4471.454285
20.0,2074,4480.010458
20.0,2130,4488.561383
20.0,1614,4495.2305
20.0,2001,4503.289443
20.0,2132,4511.880145
21.0,2050,4520.308538
20.0,2254,4529.375402
20.0,1607,4535.891957
20.0,2127,4544.573252
21.0,2529,4554.726919
21.0,2532,4564.985994
21.0,2528,4575.258289
21.0,2528,4585.375996
18.0,1996,4593.452504
20.0,1623,4600.02113
19.0,1740,4606.933004
15.0,2513,4617.327981
17.0,2217,4626.413675
20.0,1660,4633.214843
20.0,2272,4642.345097
19.0,1875,4650.121302
18.0,1948,4657.907201
19.0,1809,4665.148045
20.0,1687,4672.006578
20.0,1685,4678.827562
19.0,1751,4686.271119
20.0,2625,4696.77337
19.0,1752,4704.073319
20.0,1613,4710.721977
21.0,2527,4720.894187
19.0,2077,4729.585157
18.0,1842,4736.930387
21.0,2531,4747.537297
19.0,1842,4754.971139
20.0,1683,4761.720628
17.0,1833,4769.293619
20.0,2129,4777.857366
19.0,1841,4785.567875
20.0,1751,4792.637821
20.0,2128,4801.296093
19.0,1635,4807.998746
20.0,2155,4816.789477
21.0,1974,4825.034066
20.0,2133,4833.715339
19.0,2383,4843.523231
20.0,1614,4850.136312
21.0,2527,4860.374374
18.0,1800,4867.690521
21.0,2533,4878.081166
20.0,1703,4885.144926
21.0,2527,4895.250632
19.0,2364,4904.883883
21.0,2529,4915.132826
17.0,2212,4924.270371
19.0,1806,4931.504076
20.0,1685,4938.262455
20.0,1684,4945.017487
20.0,2257,4954.103143
20.0,1623,4960.800678
21.0,2530,4970.92196
20.0,1613,4977.607283
21.0,2527,4987.741215
18.0,1769,4995.099387
20.0,2358,5004.57959
17.0,1857,5012.184503
20.0,1617,5018.814466
20.0,2624,5029.58616
19.0,1749,5036.639636
20.0,1617,5043.308418
20.0,2195,5052.302849
20.0,1684,5059.01432
20.0,1710,5065.954618
20.0,2193,5074.995876
20.0,2508,5085.283656
20.0,1750,5092.381639
17.0,1959,5100.33786
